id_number 1,site,category,short_description,criteria_txt,justification,danger,latitude,longitude,region,iso_code,states,location,transboundary,date_inscribed,secondary_dates,revision,extension,unique_number,http_url,image_url,wikidata_URI,wikidata_Label,wikidata_instance_of_URI,wikidata_instance_of_label,wikidata_culture_URI,wikidata_culture_label,wikidata_area_in_sq_meters
1000,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Natural,"Peaks of the Southern Atlantic submarine ridge form the Fernando de Noronha Archipelago and Rocas Atoll off the coast of Brazil. They represent a large proportion of the island surface of the South Atlantic and their rich waters are extremely important for the breeding and feeding of tuna, shark, turtle and marine mammals. The islands are home to the largest concentration of tropical seabirds in the Western Atlantic. Baia de Golfinhos has an exceptional population of resident dolphin and at low tide the Rocas Atoll provides a spectacular seascape of lagoons and tidal pools teeming with fish.",(vii)(ix)(x),"Criterion (ix): FNNMP/AdRBR represents over half the insular coastal waters of the Southern Atlantic Ocean. These highly productive waters provide feeding ground for species such as tuna, billfish, cetaceans, sharks, and marine turtles as they migrate to the Eastern Atlantic coast of Africa. An oasis of marine life in relatively barren, open ocean, the islands play a key role in the process of reproduction, dispersal and colonisation by marine organisms in the entire Tropical South Atlantic.
Criterion (vii): Baía dos Golfinhos is the only know place in the world with such a high population of resident dolphins and Atoll das Rocas demonstrates a spectacular seascape at low tide when the exposed reef surrounding shallow lagoons and tidal pools forms a natural aquarium. Both sites have also exceptional submarine landscapes that have been recognised worldwide by a number of specialised diving literatures.
Criterion (x): FNNMP/AdRBR is a key site for the protection of biodiversity and endangered species in the Southern Atlantic. Providing a large proportion of the insular habitat of the South Atlantic, the site is a repository for the maintenance of marine biodiversity at the ocean basin level. It is important for the conservation of endangered and threatened species of marine turtles, particularly the hawksbill turtle. The site accommodates the largest concentration of tropical seabirds to be found in the Western Atlantic Ocean, and is a Global Centre of Bird Endemism. The site also contains the only remaining sample of the Insular Atlantic Forest and the only oceanic mangrove in the South Atlantic region.",,-3.8579444440,-32.4251111100,Latin America and the Caribbean,br,Brazil,Pernambuco and Rio Grande do Norte States,0,2001,,0,0,1166,https://whc.unesco.org/en/list/1000,https://whc.unesco.org/uploads/sites/site_1000.jpg,http://www.wikidata.org/entity/Q241074,Rocas Atoll,"http://www.wikidata.org/entity/Q14916058, http://www.wikidata.org/entity/Q386426, http://www.wikidata.org/entity/Q269528, http://www.wikidata.org/entity/Q42523","territory, natural heritage, unincorporated area, atoll",,,432700
1002,Ancient Villages in Southern Anhui – Xidi and Hongcun,Cultural,"The two traditional villages of Xidi and Hongcun preserve to a remarkable extent the appearance of non-urban settlements of a type that largely disappeared or was transformed during the last century. Their street plan, their architecture and decoration, and the integration of houses with comprehensive water systems are unique surviving examples.",(iii)(iv)(v),"Criterion (iii): The villages of Xidi and Hongcun are graphic illustrations of a type of human settlement created during a feudal period and based on a prosperous trading economy.
Criterion (iv): In their buildings and their street patterns, the two villages of southern Anhui reflect the socio-economic structure of a long-lived settled period of Chinese history.
Criterion (v): The traditional non-urban settlements of China, which have to a very large extent disappeared during the past century, are exceptionally well preserved in the villages of Xidi and Hongcun.",,29.9044444400,117.9875000000,Asia and the Pacific,cn,China,"Yi county, Huangshan city, Anhui Province",0,2000,,0,0,1168,https://whc.unesco.org/en/list/1002,https://whc.unesco.org/uploads/sites/site_1002.jpg,http://www.wikidata.org/entity/Q15224718,Ancient Villages in Southern Anhui - Xidi and Hongcun,http://www.wikidata.org/entity/Q473972,protected area,,,520000
1003,Longmen Grottoes,Cultural,"The grottoes and niches of Longmen contain the largest and most impressive collection of Chinese art of the late Northern Wei and Tang Dynasties (316-907). These works, entirely devoted to the Buddhist religion, represent the high point of Chinese stone carving.",(i)(ii)(iii),"Criterion (i): The sculptures of the Longmen Grottoes are an outstanding manifestation of human artistic creativity.
Criterion (ii): The Longmen Grottoes illustrate the perfection of a long-established art form which was to play a highly significant role in the cultural evolution of this region of Asia.
Criterion (iii): The high cultural level and sophisticated society of Tang Dynasty China is encapsulated in the exceptional stone carvings of the Longmen Grottoes.",,34.4666666700,112.4666667000,Asia and the Pacific,cn,China,"Luoyang City, Henan Province",0,2000,,0,0,1169,https://whc.unesco.org/en/list/1003,https://whc.unesco.org/uploads/sites/site_1003.jpg,http://www.wikidata.org/entity/Q273834,Longmen Grottoes,http://www.wikidata.org/entity/Q1131329,grotto,,,3310000
1004,Imperial Tombs of the Ming and Qing Dynasties,Cultural,"It represents the addition of three Imperial Tombs of the Qing Dynasty in Liaoning to the Ming tombs inscribed in 2000 and 2003. The Three Imperial Tombs of the Qing Dynasty in Liaoning Province include the Yongling Tomb, the Fuling Tomb, and the Zhaoling Tomb, all built in the 17th century. Constructed for the founding emperors of the Qing Dynasty and their ancestors, the tombs follow the precepts of traditional Chinese geomancy and fengshui theory. They feature rich decoration of stone statues and carvings and tiles with dragon motifs, illustrating the development of the funerary architecture of the Qing Dynasty. The three tomb complexes, and their numerous edifices, combine traditions inherited from previous dynasties and new features of Manchu civilization.",(i)(ii)(iii)(iv)(vi),"Criterion (i): The harmonious integration of remarkable architectural groups in a natural environment chosen to meet the criteria of geomancy (Fengshui) makes the Ming and Qing Imperial Tombs masterpieces of human creative genius.
Criteria (ii), (iii) and (iv): The imperial mausolea are outstanding testimony to a cultural and architectural tradition that for over five hundred years dominated this part of the world; by reason of their integration into the natural environment, they make up a unique ensemble of cultural landscapes.
Criterion (vi): The Ming and Qing Tombs are dazzling illustrations of the beliefs, world view, and geomantic theories of Fengshui prevalent in feudal China. They have served as burial edifices for illustrious personages and as the theatre for major events that have marked the history of China.",,41.7072222200,124.7938889000,Asia and the Pacific,cn,China,"Nanjing City, Jiangsu Province (Xiaoling Tomb); Changping District, Beijing (Ming Tombs)",0,2000,"2003, 2004",0,1,1172,https://whc.unesco.org/en/list/1004,https://whc.unesco.org/uploads/sites/site_1004.jpg,http://www.wikidata.org/entity/Q817164,Imperial Tombs of the Ming and Qing Dynasties,http://www.wikidata.org/entity/Q1541002,burial plot,,,34349399
1007,Cape Floral Region Protected Areas,Natural,"Inscribed on the World Heritage List in 2004, the property is located at the south-western extremity of South Africa. It is one of the world’s great centres of terrestrial biodiversity. The extended property includes national parks, nature reserves, wilderness areas, State forests and mountain catchment areas. These elements add a significant number of endemic species associated with the Fynbos vegetation, a fine-leaved sclerophyllic shrubland adapted to both a Mediterranean climate and periodic fires, which is unique to the Cape Floral Region.",(ix)(x),,,-34.3611111111,18.4750000000,Africa,za,South Africa,,0,2004,2015,0,1,2013,https://whc.unesco.org/en/list/1007,https://whc.unesco.org/uploads/sites/site_1007.jpg,http://www.wikidata.org/entity/Q1974274,Cape Floristic Kingdom,http://www.wikidata.org/entity/Q429976,phytochorion,,,10947420000
1008,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,Cultural,"The remains of the 19th-century coffee plantations in the foothills of the Sierra Maestra are unique evidence of a pioneer form of agriculture in a difficult terrain. They throw considerable light on the economic, social, and technological history of the Caribbean and Latin American region.",(iii)(iv),"Criterion iii The remains of the 19th and early 20th century coffee plantations in eastern Cuba are unique and eloquent testimony to a form of agricultural exploitation of virgin forest, the traces of which have disappeared elsewhere in the world. Criterion iv The production of coffee in eastern Cuba during the 19th and early 20th centuries resulted in the creation of a unique cultural landscape, illustrating a significant stage in the development of this form of agriculture.",,20.0300000000,-75.3913888900,Latin America and the Caribbean,cu,Cuba,"Santiago and Guantanamo Provinces, South-Eastern Region",0,2000,,0,0,1178,https://whc.unesco.org/en/list/1008,https://whc.unesco.org/uploads/sites/site_1008.jpg,http://www.wikidata.org/entity/Q636714,Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,http://www.wikidata.org/entity/Q107425,landscape,,,814750000
1010,Land of Frankincense,Cultural,"The frankincense trees of Wadi Dawkah and the remains of the caravan oasis of Shisr/Wubar and the affiliated ports of Khor Rori and Al-Baleed vividly illustrate the trade in frankincense that flourished in this region for many centuries, as one of the most important trading activities of the ancient and medieval world.",(iii)(iv),"Criterion iii The group of archaeological sites in Oman represent the production and distribution of frankincense, one of the most important luxury items of trade in the Old World in antiquity. Criterion iv The Oasis of Shishr and the entrepots of Khor Rori and Al-Balid are outstanding examples of medieval fortified settlements in the Persian Gulf region.",,18.2533300000,53.6475900000,Arab States,om,Oman,Dhofar Province,0,2000,,0,0,1180,https://whc.unesco.org/en/list/1010,https://whc.unesco.org/uploads/sites/site_1010.jpg,http://www.wikidata.org/entity/Q118468,Land of Frankincense,http://www.wikidata.org/entity/Q1129474,cultural landscape,,,8498800
1012,Kinabalu Park,Natural,"Kinabalu Park, in the State of Sabah on the northern end of the island of Borneo, is dominated by Mount Kinabalu (4,095 m), the highest mountain between the Himalayas and New Guinea. It has a very wide range of habitats, from rich tropical lowland and hill rainforest to tropical mountain forest, sub-alpine forest and scrub on the higher elevations. It has been designated as a Centre of Plant Diversity for Southeast Asia and is exceptionally rich in species with examples of flora from the Himalayas, China, Australia, Malaysia, as well as pan-tropical flora.",(ix)(x),"Criteria (ix) and (x): The site has a diverse biota and high endemism. The altitudinal and climatic gradient from tropical forest to alpine conditions combine with precipitous topography, diverse geology and frequent climate oscillations to provide conditions ideal for the development of new species. The Park contains high biodiversity with representatives from more than half the families of all flowering plants. The majority of Borneo’s mammals, birds, amphibians and invertebrates (many threatened and vulnerable) occur in the Park.",,6.2500000000,116.5000000000,Asia and the Pacific,my,Malaysia,State of Sabah,0,2000,,0,0,1182,https://whc.unesco.org/en/list/1012,https://whc.unesco.org/uploads/sites/site_1012.jpg,http://www.wikidata.org/entity/Q834893,Kinabalu Park,"http://www.wikidata.org/entity/Q473972, http://www.wikidata.org/entity/Q46169","protected area, national park",,,753700000
1013,Gunung Mulu National Park,Natural,"Important both for its high biodiversity and for its karst features, Gunung Mulu National Park, on the island of Borneo in the State of Sarawak, is the most studied tropical karst area in the world. The 52,864-ha park contains seventeen vegetation zones, exhibiting some 3,500 species of vascular plants. Its palm species are exceptionally rich, with 109 species in twenty genera noted. The park is dominated by Gunung Mulu, a 2,377 m-high sandstone pinnacle. At least 295 km of explored caves provide a spectacular sight and are home to millions of cave swiftlets and bats. The Sarawak Chamber, 600 m by 415 m and 80 m high, is the largest known cave chamber in the world.",(vii)(viii)(ix)(x),"Criteria (vii), (viii), (ix) and (x): The concentration of caves in Mulu's Melinau Formation with its geomorphic and structural characteristics is an outstanding feature which allows a greater understanding of Earth's history. The caves of Mulu are important for their classic features of underground geomorphology, demonstrating an evolutionary history of more than 1.5 million years. One of the world's finest examples of the collapse process in Karstic terrain can be also found. GMNP provides outstanding scientific opportunities to study theories on the origins of cave faunas. With its deeply-incised canyons, wild rivers, rainforest-covered mountains, spectacular limestone pinnacles, cave passages and decorations, Mulu has outstanding scenic values. GMNP also provides significant natural habitat for a wide range of plant and animal diversity both above and below ground. It is botanically-rich in species and high in endemism, including one of the richest sites in the world for palm species.",,4.1333300000,114.9166700000,Asia and the Pacific,my,Malaysia,"northern Sarawak, island of Borneo",0,2000,,0,0,1183,https://whc.unesco.org/en/list/1013,https://whc.unesco.org/uploads/sites/site_1013.jpg,http://www.wikidata.org/entity/Q61535,Gunung Mulu National Park,http://www.wikidata.org/entity/Q46169,national park,,,52864000000
1016,Historical Centre of the City of Arequipa,Cultural,"The historic centre of Arequipa, built in volcanic sillar rock, represents an integration of European and native building techniques and characteristics, expressed in the admirable work of colonial masters and Criollo and Indian masons. This combination of influences is illustrated by the city's robust walls, archways and vaults, courtyards and open spaces, and the intricate Baroque decoration of its facades.",(i)(iv),"Criterion i The ornamented architecture in the historic centre of Arequipa represents a masterpiece of the creative integration of European and native characteristics, crucial for the cultural expression of the entire region. Criterion iv The historic centre of Arequipa is an outstanding example of a colonial settlement, challenged by the natural conditions, the indigenous influences, the process of conquest and evangelization, as well as the spectacular nature of its setting.",,-16.3983530000,-71.5367770000,Latin America and the Caribbean,pe,Peru,Province of Arequipa,0,2000,,0,0,1186,https://whc.unesco.org/en/list/1016,https://whc.unesco.org/uploads/sites/site_1016.jpg,http://www.wikidata.org/entity/Q8343756,Historic Centre of Arequipa,"http://www.wikidata.org/entity/Q702492, http://www.wikidata.org/entity/Q676050","urban area, old town",,,1665200
